TechCode,CropCode,Variable,Filename,Crop,Tech,Archive
H,SORG,VOP,spam2017V2r1_SSA_V_SORG_H.tif,sorghum,rainfed high inputs,spam2017v2r1_ssa_val_prod.geotiff
H,SOYB,VOP,spam2017V2r1_SSA_V_SOYB_H.tif,soybean,rainfed high inputs,spam2017v2r1_ssa_val_prod.geotiff
H,SUGB,VOP,spam2017V2r1_SSA_V_SUGB_H.tif,sugarbeet,rainfed high inputs,spam2017v2r1_ssa_val_prod.geotiff
H,SUGC,VOP,spam2017V2r1_SSA_V_SUGC_H.tif,sugarcane,rainfed high inputs,spam2017v2r1_ssa_val_prod.geotiff
H,SUNF,VOP,spam2017V2r1_SSA_V_SUNF_H.tif,sunflower,rainfed high inputs,spam2017v2r1_ssa_val_prod.geotiff
H,SWPO,VOP,spam2017V2r1_SSA_V_SWPO_H.tif,sweet potato,rainfed high inputs,spam2017v2r1_ssa_val_prod.geotiff
H,TEAS,VOP,spam2017V2r1_SSA_V_TEAS_H.tif,tea,rainfed high inputs,spam2017v2r1_ssa_val_prod.geotiff
H,TEMF,VOP,spam2017V2r1_SSA_V_TEMF_H.tif,temperate fruit,rainfed high inputs,spam2017v2r1_ssa_val_prod.geotiff
H,TOBA,VOP,spam2017V2r1_SSA_V_TOBA_H.tif,tobacco,rainfed high inputs,spam2017v2r1_ssa_val_prod.geotiff
H,TROF,VOP,spam2017V2r1_SSA_V_TROF_H.tif,tropical fruit,rainfed high inputs,spam2017v2r1_ssa_val_prod.geotiff
H,VEGE,VOP,spam2017V2r1_SSA_V_VEGE_H.tif,vegetables,rainfed high inputs,spam2017v2r1_ssa_val_prod.geotiff
H,WHEA,VOP,spam2017V2r1_SSA_V_WHEA_H.tif,wheat,rainfed high inputs,spam2017v2r1_ssa_val_prod.geotiff
H,YAMS,VOP,spam2017V2r1_SSA_V_YAMS_H.tif,yams,rainfed high inputs,spam2017v2r1_ssa_val_prod.geotiff
I,ACOF,VOP,spam2017V2r1_SSA_V_ACOF_I.tif,arabica coffee,irrigated,spam2017v2r1_ssa_val_prod.geotiff
I,BANA,VOP,spam2017V2r1_SSA_V_BANA_I.tif,banana,irrigated,spam2017v2r1_ssa_val_prod.geotiff
I,BARL,VOP,spam2017V2r1_SSA_V_BARL_I.tif,barley,irrigated,spam2017v2r1_ssa_val_prod.geotiff
I,BEAN,VOP,spam2017V2r1_SSA_V_BEAN_I.tif,bean,irrigated,spam2017v2r1_ssa_val_prod.geotiff
I,CASS,VOP,spam2017V2r1_SSA_V_CASS_I.tif,cassava,irrigated,spam2017v2r1_ssa_val_prod.geotiff
I,CHIC,VOP,spam2017V2r1_SSA_V_CHIC_I.tif,chickpea,irrigated,spam2017v2r1_ssa_val_prod.geotiff
I,CNUT,VOP,spam2017V2r1_SSA_V_CNUT_I.tif,coconut,irrigated,spam2017v2r1_ssa_val_prod.geotiff
I,COCO,VOP,spam2017V2r1_SSA_V_COCO_I.tif,cocoa,irrigated,spam2017v2r1_ssa_val_prod.geotiff
I,COTT,VOP,spam2017V2r1_SSA_V_COTT_I.tif,cotton,irrigated,spam2017v2r1_ssa_val_prod.geotiff
I,COWP,VOP,spam2017V2r1_SSA_V_COWP_I.tif,cowpea,irrigated,spam2017v2r1_ssa_val_prod.geotiff
I,GROU,VOP,spam2017V2r1_SSA_V_GROU_I.tif,groundnut,irrigated,spam2017v2r1_ssa_val_prod.geotiff
I,LENT,VOP,spam2017V2r1_SSA_V_LENT_I.tif,lentil,irrigated,spam2017v2r1_ssa_val_prod.geotiff
I,MAIZ,VOP,spam2017V2r1_SSA_V_MAIZ_I.tif,maize,irrigated,spam2017v2r1_ssa_val_prod.geotiff
I,OCER,VOP,spam2017V2r1_SSA_V_OCER_I.tif,other cereals,irrigated,spam2017v2r1_ssa_val_prod.geotiff
I,OFIB,VOP,spam2017V2r1_SSA_V_OFIB_I.tif,other fibre crops,irrigated,spam2017v2r1_ssa_val_prod.geotiff
I,OILP,VOP,spam2017V2r1_SSA_V_OILP_I.tif,oilpalm,irrigated,spam2017v2r1_ssa_val_prod.geotiff
I,OOIL,VOP,spam2017V2r1_SSA_V_OOIL_I.tif,other oil crops,irrigated,spam2017v2r1_ssa_val_prod.geotiff
I,OPUL,VOP,spam2017V2r1_SSA_V_OPUL_I.tif,other pulses,irrigated,spam2017v2r1_ssa_val_prod.geotiff
I,ORTS,VOP,spam2017V2r1_SSA_V_ORTS_I.tif,other roots,irrigated,spam2017v2r1_ssa_val_prod.geotiff
I,PIGE,VOP,spam2017V2r1_SSA_V_PIGE_I.tif,pigeonpea,irrigated,spam2017v2r1_ssa_val_prod.geotiff
I,PLNT,VOP,spam2017V2r1_SSA_V_PLNT_I.tif,plantain,irrigated,spam2017v2r1_ssa_val_prod.geotiff
I,PMIL,VOP,spam2017V2r1_SSA_V_PMIL_I.tif,pearl millet,irrigated,spam2017v2r1_ssa_val_prod.geotiff
I,POTA,VOP,spam2017V2r1_SSA_V_POTA_I.tif,potato,irrigated,spam2017v2r1_ssa_val_prod.geotiff
I,RAPE,VOP,spam2017V2r1_SSA_V_RAPE_I.tif,rapeseed,irrigated,spam2017v2r1_ssa_val_prod.geotiff
I,RCOF,VOP,spam2017V2r1_SSA_V_RCOF_I.tif,robusta coffee,irrigated,spam2017v2r1_ssa_val_prod.geotiff
I,REST,VOP,spam2017V2r1_SSA_V_REST_I.tif,rest of crops,irrigated,spam2017v2r1_ssa_val_prod.geotiff
I,RICE,VOP,spam2017V2r1_SSA_V_RICE_I.tif,rice,irrigated,spam2017v2r1_ssa_val_prod.geotiff
I,SESA,VOP,spam2017V2r1_SSA_V_SESA_I.tif,sesameseed,irrigated,spam2017v2r1_ssa_val_prod.geotiff
I,SMIL,VOP,spam2017V2r1_SSA_V_SMIL_I.tif,small millet,irrigated,spam2017v2r1_ssa_val_prod.geotiff
I,SORG,VOP,spam2017V2r1_SSA_V_SORG_I.tif,sorghum,irrigated,spam2017v2r1_ssa_val_prod.geotiff
I,SOYB,VOP,spam2017V2r1_SSA_V_SOYB_I.tif,soybean,irrigated,spam2017v2r1_ssa_val_prod.geotiff
